"","V1.x","cust_id","cust_profit_percent","V1.y","promo_sensitivity"
"149",188,96779944,0.587160608708297,188,0.564174242008547
"150",189,550000,0.555562284220973,189,0.589324797388084
"151",191,6149849,0.655468511194355,191,0.530327631376362
"152",192,9489849,0.577812772727435,192,0.591814133510993
"153",193,10209992,0.583230129701707,193,0.561242555668139
"154",194,10669538,0.670849576443754,194,0.716378876502355
"155",197,15669814,0.633828271901086,197,0.587434135676175
"156",198,18869934,0.620045126954198,198,0.524645437545236
"157",199,19179512,0.581391099752197,199,0.502686500690633
"158",200,19909975,0.633845407861223,200,0.595726089847915
"159",202,31079522,0.637209851885206,202,0.63595259472188
"160",203,31529975,0.636010921768081,203,0.704154547453155
"161",206,49359922,0.658637206444498,206,0.668462161625282
"162",207,59709872,0.621447882283198,207,0.601280083610114
"163",208,61389597,0.653622552364362,208,0.569722828285198
"164",209,64299942,0.643357604561286,209,0.538037665191966
"165",210,64859710,0.521225674169906,210,0.590036374724355
"166",211,65289989,0.614722968702602,211,0.530178713077272
"167",213,70459591,0.607315570344576,213,0.743941811414248
"168",216,73129561,0.609378805538291,216,0.739297212941066
"169",217,73139771,0.562836225120963,217,0.722375990429357
"170",218,75269948,0.678426918111753,218,0.606185993764654
"171",220,80969585,0.591339918923971,220,0.502240721281891
"172",221,82919813,0.675029254660591,221,0.739857475741127
"173",223,85259620,0.55012102919491,223,0.703394563617019
"174",224,87479548,0.626646421114015,224,0.646601054346908
"175",225,88279616,0.606040850747681,225,0.706786884521005
"176",226,88439730,0.587654959850319,226,0.730784929243844
"177",227,89989551,0.644498611185481,227,0.61631477754099
"178",229,94309610,0.522729900264378,229,0.743877354106527
"179",230,95799566,0.663206194532281,230,0.604749530184957
"180",232,96829926,0.566093422484463,232,0.641055149648243
"181",233,98489918,0.613689780111511,233,0.650828260667238
"182",234,749556,0.525067860326839,234,0.879893010696368
"183",235,1459955,0.574117486260356,235,0.777154462518267
"184",236,2169803,0.582338797214986,236,0.63830951615988
"185",237,7569890,0.603228214217003,237,0.512486331420697
"186",238,11669833,0.539738867303463,238,0.788786100013701
"187",239,13129627,0.629471206572627,239,0.549278700227416
"188",241,14509826,0.676426862938863,241,0.579073855629616
